,str0.3_den0.05,str0.03_den0.5,str0.003_den5.0,str0.3_den0.11,str0.03_den1.1,str0.003_den11.0,str0.3_den0.23,str0.03_den2.3000000000000003,str0.003_den23.0,str0.3_den0.5,str0.03_den5.0,str0.003_den50.0,str0.3_den1.08,str0.03_den10.8,str0.003_den108.0,str0.3_den2.32,str0.03_den23.2,str0.003_den231.99999999999997,str0.3_den5.0,str0.03_den50.0,str0.003_den500.0,str0.3_den10.77,str0.03_den107.69999999999999,str0.003_den1077.0,str0.3_den23.21,str0.03_den232.10000000000002,str0.003_den2321.0
190,,,,,,,,,,,,,,352.0,,90.0,,,319.0,203.0,547.0,159.0,233.0,314.0,8.0,52.0,181.0
191,,,,,,,,,,,,,,1101.0,,,734.0,,413.0,437.0,1200.0,154.0,243.0,796.0,18.0,19.0,77.0
192,,,,,,,,,,,,,496.0,688.0,,53.0,,,,344.0,958.0,287.0,16.0,355.0,29.0,103.0,194.0
193,,,,,,,1075.0,,,396.0,,,330.0,1195.0,,1021.0,,,451.0,655.0,,57.0,113.0,711.0,40.0,56.0,101.0
194,,,,,,,,,,,,,,,,,475.0,,521.0,810.0,,84.0,161.0,381.0,54.0,28.0,133.0
195,,,,,,,,,,,,,,,,499.0,,,106.0,279.0,,167.0,24.0,543.0,25.0,75.0,190.0
196,,,,,,,,,,,,,,,,1161.0,1148.0,,1101.0,562.0,,247.0,189.0,471.0,26.0,92.0,134.0
197,,,,,,,,,,,,,543.0,864.0,,146.0,361.0,,245.0,272.0,,155.0,357.0,289.0,81.0,73.0,73.0
198,,,,,,,,,,,,,,,,1103.0,243.0,,167.0,1112.0,1024.0,74.0,25.0,390.0,31.0,120.0,95.0
199,,,,,,,,,,,,,161.0,,,595.0,,,104.0,179.0,,498.0,138.0,433.0,87.0,103.0,240.0
200,,,,,,,,,,,,,,,,234.0,,,633.0,80.0,869.0,58.0,97.0,590.0,35.0,151.0,190.0
201,,,,,,,,922.0,,,,,562.0,,,65.0,,,575.0,357.0,375.0,374.0,177.0,260.0,32.0,87.0,144.0
202,,,,,,,,,,,,,470.0,,,836.0,,,722.0,456.0,,78.0,129.0,356.0,249.0,52.0,171.0
203,,,,,,,,,,,,,156.0,,,658.0,,,81.0,673.0,,203.0,140.0,310.0,44.0,68.0,125.0
204,,,,,,,,,,,,,798.0,,,,,,156.0,285.0,,54.0,201.0,225.0,36.0,153.0,127.0
205,,,,,,,,,,221.0,,,,1184.0,,,,,163.0,575.0,773.0,32.0,137.0,475.0,49.0,93.0,130.0
206,,,,,,,,,,,,,331.0,,,,1136.0,,609.0,414.0,371.0,96.0,206.0,548.0,36.0,147.0,90.0
207,,,,,,,,,,220.0,,,,383.0,,,812.0,,153.0,761.0,,70.0,108.0,363.0,81.0,100.0,151.0
208,,,,,,,,,,,1086.0,,,,,,997.0,,328.0,288.0,,88.0,73.0,363.0,30.0,87.0,113.0
209,744.0,,,,,,,,,,,,,,,470.0,521.0,,724.0,387.0,,240.0,171.0,395.0,29.0,28.0,74.0
