,str0.3_den0.05,str0.03_den0.5,str0.003_den5.0,str0.3_den0.11,str0.03_den1.1,str0.003_den11.0,str0.3_den0.23,str0.03_den2.3000000000000003,str0.003_den23.0,str0.3_den0.5,str0.03_den5.0,str0.003_den50.0,str0.3_den1.08,str0.03_den10.8,str0.003_den108.0,str0.3_den2.32,str0.03_den23.2,str0.003_den231.99999999999997,str0.3_den5.0,str0.03_den50.0,str0.003_den500.0,str0.3_den10.77,str0.03_den107.69999999999999,str0.003_den1077.0,str0.3_den23.21,str0.03_den232.10000000000002,str0.003_den2321.0
127,,,,,,,,,,,,,,,,,,,,1084.0,,,648.0,959.0,213.0,231.0,311.0
128,,,,,,,,,,,,,,,,,,,365.0,,,307.0,736.0,802.0,256.0,126.0,517.0
129,,,,964.0,,,,,,,,,,,,,,,,,,683.0,509.0,1141.0,382.0,56.0,349.0
130,,,,,,,,,,,,,,,,,,,171.0,,,564.0,380.0,1154.0,82.0,229.0,336.0
131,,,,,,,,,,,,,,,,,,,,,,412.0,618.0,,386.0,126.0,350.0
132,,,,,,,,,,,,,,,,,,,,,,1052.0,549.0,913.0,166.0,140.0,338.0
133,,,,,,,,,,,,,,,,,,,621.0,,,267.0,248.0,750.0,186.0,112.0,323.0
134,,,,,,,,,,,,,,,,,,,,798.0,,178.0,606.0,792.0,154.0,289.0,356.0
135,,,,,,,,,,,,,,,,,,,,,,759.0,555.0,845.0,128.0,245.0,188.0
136,,,,,,,,,,,,,,,,,,,585.0,,,424.0,436.0,653.0,60.0,260.0,348.0
137,,,,,,,,,,,,,,,,,,,,1030.0,,200.0,514.0,637.0,153.0,193.0,273.0
138,,,,,,,,,,,,,,,,,,,,,,423.0,479.0,845.0,283.0,256.0,381.0
139,,,,,,,,,,,,,,,,,,,,,,185.0,526.0,,229.0,127.0,424.0
140,,,,,,,,,,,,,,,,,,,405.0,,,603.0,405.0,730.0,337.0,227.0,238.0
141,,,,,,,,,,,,,,,,,,,,,,366.0,747.0,1121.0,125.0,168.0,392.0
142,,,,,,,,,,,,,,,,1169.0,,,,,,125.0,461.0,928.0,97.0,234.0,327.0
143,,,,,,,,,,,,,,,,,,,,,,173.0,571.0,796.0,298.0,146.0,343.0
144,,,,,,,,,,,,,,,,,,,,,,562.0,554.0,1033.0,222.0,151.0,438.0
145,,,,,,,,,,,,,434.0,,,,,,170.0,1104.0,,679.0,300.0,927.0,104.0,203.0,259.0
146,,,,,,,,,,,,,,,,,,,,,,334.0,374.0,707.0,183.0,284.0,339.0
147,,,,,,,,,,,,,,,,,,,,941.0,,565.0,540.0,851.0,174.0,211.0,353.0
148,,,,,,,,,,,,,,,,,,,612.0,,,909.0,527.0,624.0,101.0,111.0,355.0
149,,,,,,,,,,,,,,,,1040.0,,,,,,547.0,435.0,636.0,59.0,112.0,354.0
150,,,,,,,,,,,,,,,,,,,,,,501.0,411.0,756.0,75.0,182.0,380.0
151,,,,,,,,,,,,,,,,,,,,,,,370.0,,327.0,240.0,281.0
152,,,,,,,,,,,,,,,,,,,,,,400.0,596.0,605.0,155.0,160.0,372.0
153,,,,,,,,,,,,,,,,,,,,,,335.0,714.0,722.0,173.0,198.0,255.0
154,,,,,,,,,,,,,,,,,,,340.0,,,925.0,681.0,717.0,97.0,189.0,506.0
155,,,,,,,,,,,,,,,,,,,123.0,,,605.0,828.0,845.0,214.0,281.0,334.0
156,,,,,,,,,,,,,,,,,,,,934.0,,123.0,644.0,929.0,178.0,285.0,289.0
157,,,,,,,,,,,,,,,,,,,632.0,,,255.0,444.0,1000.0,188.0,240.0,327.0
158,,,,,,,,,,,,,,,,,,,,,,853.0,481.0,982.0,112.0,221.0,242.0
159,,,,,,,,,,,,,,,,,,,,,,546.0,609.0,838.0,167.0,242.0,275.0
160,,,,,,,,,,,,,,,,,,,,,,568.0,448.0,1105.0,251.0,233.0,350.0
161,,,,,,,,,,,,,,,,288.0,,,904.0,,,205.0,282.0,843.0,72.0,121.0,430.0
162,,,,,,,,,,,,,,,,,,,,,,408.0,813.0,830.0,86.0,120.0,249.0
163,,,,,,,,,,,,,,,,,,,660.0,1016.0,,371.0,487.0,778.0,246.0,173.0,273.0
164,,,,,,,,,,,,,,,,,,,,1069.0,,408.0,392.0,885.0,243.0,299.0,263.0
165,,,,,,,,,,,,,,,,,,,1174.0,,,508.0,514.0,721.0,146.0,231.0,336.0
166,,,,,,,,,,,,,,,,,,,545.0,1005.0,,474.0,859.0,748.0,104.0,156.0,191.0
167,,,,,,,,,,,,,,,,,,,,,,394.0,395.0,904.0,201.0,193.0,205.0
168,,,,,,,,,,,,,,,,464.0,,,,,,183.0,628.0,784.0,121.0,156.0,344.0
169,,,,,,,,,,,,,,,,,,,743.0,,,928.0,824.0,1100.0,172.0,192.0,262.0
170,,,,,,,,,,,,,,,,,,,,,,359.0,415.0,815.0,55.0,167.0,355.0
171,,,,,,,,,,,,,,,,,,,1018.0,,,390.0,896.0,690.0,111.0,82.0,313.0
172,,,,,,,,,,,,,,,,,,,1063.0,,,958.0,777.0,1030.0,137.0,183.0,260.0
173,,,,,,,,,,,,,,,,,,,1137.0,,,133.0,491.0,1130.0,85.0,342.0,301.0
174,,,,,,,,,,,,,,,,,,,865.0,,,420.0,465.0,740.0,87.0,307.0,281.0
175,,,,,,,,,,,,,,,,,,,,,,254.0,428.0,972.0,208.0,153.0,320.0
176,,,,,,,,,,,,,,,,297.0,,,,,,887.0,500.0,785.0,75.0,173.0,309.0
177,,,,,,,,,,,,,,,,,,,,,,342.0,405.0,874.0,178.0,172.0,317.0
178,,,,,,,,,,,,,,,,,,,371.0,,,440.0,165.0,724.0,211.0,217.0,353.0
179,,,,,,,,,,,,,,,,,,,368.0,,,50.0,354.0,843.0,117.0,308.0,409.0
180,,,,,,,,,,,,,,,,,,,,,,455.0,635.0,924.0,168.0,178.0,370.0
181,,,,,,,,,,,,,,,,,,,,,,690.0,409.0,1116.0,125.0,217.0,395.0
182,,,,,,,,,,,,,,,,,,,,,,262.0,722.0,1017.0,173.0,272.0,228.0
183,,,,,,,,,,,,,,,,,,,,947.0,,837.0,425.0,,167.0,266.0,221.0
184,,,,,,,,,,,,,,,,,,,1184.0,978.0,,442.0,573.0,871.0,179.0,256.0,267.0
185,,,,,,,,,,,,,,,,,,,,,,107.0,514.0,717.0,118.0,260.0,321.0
186,,,,,,,,,,,,,,,,,,,,,,917.0,372.0,,256.0,137.0,295.0
187,,,,,,,,,,,,,,,,,,,,,,429.0,763.0,820.0,246.0,274.0,311.0
188,,,,,,,,,,,,,,,,,,,915.0,,,959.0,468.0,536.0,150.0,190.0,274.0
189,,,,,,,,,,,,,,,,,,,1147.0,,,781.0,414.0,935.0,159.0,208.0,297.0
190,,,,,,,,,,,,,,,,,,,,,,1071.0,774.0,854.0,36.0,166.0,413.0
191,,,,,,,,,,,,,,,,,,,,,,211.0,629.0,,43.0,172.0,338.0
192,,,,,,,,,,,,,,,,,,,,,,728.0,400.0,786.0,170.0,257.0,404.0
193,,,,,,,,,,,,,,,,,,,,,,120.0,332.0,,254.0,235.0,312.0
194,,,,,,,,,,,,,,,,,,,585.0,,,571.0,470.0,842.0,125.0,108.0,324.0
195,,,,,,,,,,,,,,,,,,,,,,,500.0,977.0,107.0,157.0,358.0
196,,,,,,,,,,,,,,,,,,,,1185.0,,579.0,474.0,770.0,191.0,162.0,345.0
197,,,,,,,,,,,,,,,,,,,,,,635.0,896.0,642.0,247.0,174.0,323.0
198,,,,,,,,,,,,,,,,,,,,,,205.0,377.0,976.0,104.0,262.0,238.0
199,,,,,,,,,,,,,,,,,,,,1065.0,,775.0,203.0,922.0,105.0,133.0,423.0
200,,,,,,,,,,,,,,,,,,,879.0,,,458.0,572.0,1058.0,59.0,167.0,355.0
201,,,,,,,,,,,,,,,,,,,745.0,,,640.0,545.0,,141.0,290.0,281.0
