,type0_str1,type1_str1,type2_str1,type0_str0.3,type1_str0.3,type2_str0.3,type0_str0.1,type1_str0.1,type2_str0.1,type0_str0.03,type1_str0.03,type2_str0.03,type0_str0.01,type1_str0.01,type2_str0.01,type0_str0.003,type1_str0.003,type2_str0.003,type0_str0.001,type1_str0.001,type2_str0.001
177,67.0,4.0,139.0,189.0,3.0,412.0,42.0,4.0,461.0,15.0,5.0,162.0,10.0,3.0,124.0,7.0,3.0,44.0,6.0,4.0,32.0
178,9.0,3.0,620.0,200.0,3.0,970.0,42.0,5.0,103.0,6.0,4.0,192.0,15.0,3.0,136.0,7.0,4.0,100.0,9.0,3.0,9.0
179,21.0,3.0,455.0,37.0,4.0,412.0,59.0,4.0,199.0,19.0,3.0,141.0,40.0,3.0,62.0,9.0,3.0,62.0,11.0,5.0,30.0
180,36.0,4.0,634.0,183.0,3.0,263.0,39.0,4.0,356.0,50.0,4.0,147.0,19.0,4.0,185.0,5.0,3.0,56.0,4.0,4.0,28.0
181,35.0,3.0,61.0,43.0,3.0,188.0,54.0,5.0,212.0,33.0,4.0,211.0,19.0,4.0,89.0,16.0,3.0,80.0,6.0,4.0,18.0
182,78.0,3.0,88.0,281.0,4.0,535.0,22.0,3.0,567.0,16.0,3.0,180.0,9.0,3.0,74.0,10.0,3.0,62.0,4.0,3.0,28.0
183,65.0,3.0,343.0,7.0,3.0,243.0,28.0,3.0,363.0,35.0,4.0,240.0,29.0,4.0,125.0,19.0,3.0,45.0,4.0,3.0,16.0
184,29.0,4.0,171.0,12.0,3.0,394.0,102.0,4.0,298.0,71.0,5.0,143.0,9.0,3.0,85.0,26.0,3.0,38.0,4.0,3.0,38.0
185,11.0,4.0,96.0,72.0,4.0,283.0,83.0,3.0,300.0,48.0,4.0,347.0,30.0,4.0,224.0,7.0,4.0,43.0,14.0,4.0,21.0
186,28.0,4.0,299.0,5.0,4.0,285.0,38.0,4.0,265.0,38.0,3.0,290.0,17.0,3.0,169.0,5.0,3.0,77.0,4.0,4.0,26.0
187,59.0,2.0,512.0,24.0,3.0,397.0,81.0,5.0,320.0,59.0,4.0,244.0,14.0,4.0,146.0,5.0,4.0,83.0,5.0,3.0,25.0
188,0.0,3.0,748.0,34.0,3.0,197.0,33.0,4.0,275.0,42.0,5.0,133.0,15.0,5.0,146.0,5.0,3.0,47.0,6.0,3.0,11.0
189,55.0,4.0,277.0,29.0,5.0,331.0,13.0,4.0,214.0,85.0,4.0,92.0,15.0,4.0,118.0,6.0,4.0,47.0,5.0,4.0,11.0
190,61.0,3.0,635.0,81.0,4.0,406.0,7.0,3.0,240.0,41.0,4.0,144.0,26.0,4.0,55.0,9.0,4.0,65.0,6.0,3.0,30.0
191,58.0,3.0,79.0,47.0,4.0,297.0,10.0,4.0,340.0,9.0,4.0,159.0,31.0,3.0,86.0,7.0,3.0,108.0,4.0,4.0,8.0
192,96.0,0.0,125.0,2.0,4.0,154.0,49.0,3.0,230.0,30.0,3.0,279.0,9.0,3.0,118.0,12.0,4.0,26.0,4.0,3.0,27.0
193,92.0,3.0,260.0,88.0,5.0,409.0,115.0,4.0,663.0,14.0,3.0,100.0,8.0,4.0,125.0,12.0,3.0,85.0,15.0,3.0,13.0
194,43.0,2.0,351.0,28.0,4.0,857.0,15.0,4.0,89.0,31.0,4.0,168.0,24.0,3.0,88.0,8.0,3.0,35.0,6.0,3.0,46.0
195,34.0,4.0,429.0,4.0,3.0,620.0,13.0,4.0,439.0,10.0,3.0,454.0,14.0,3.0,90.0,5.0,3.0,74.0,4.0,3.0,26.0
196,16.0,4.0,115.0,114.0,4.0,465.0,70.0,3.0,281.0,28.0,5.0,198.0,11.0,3.0,205.0,14.0,3.0,61.0,4.0,3.0,49.0
197,18.0,4.0,544.0,38.0,4.0,234.0,14.0,3.0,247.0,7.0,4.0,94.0,23.0,3.0,95.0,18.0,3.0,48.0,11.0,3.0,57.0
198,66.0,4.0,490.0,30.0,4.0,698.0,45.0,3.0,273.0,47.0,3.0,134.0,12.0,4.0,90.0,4.0,3.0,56.0,5.0,3.0,32.0
199,52.0,4.0,107.0,59.0,6.0,358.0,56.0,4.0,240.0,36.0,4.0,270.0,29.0,4.0,76.0,7.0,3.0,35.0,4.0,5.0,27.0
200,27.0,4.0,30.0,39.0,4.0,783.0,48.0,3.0,74.0,59.0,5.0,80.0,30.0,3.0,183.0,6.0,4.0,118.0,3.0,3.0,9.0
201,189.0,3.0,932.0,38.0,4.0,336.0,63.0,3.0,648.0,14.0,4.0,171.0,5.0,3.0,155.0,20.0,4.0,31.0,4.0,3.0,40.0
202,5.0,2.0,208.0,64.0,4.0,388.0,15.0,4.0,333.0,22.0,3.0,134.0,16.0,4.0,162.0,7.0,3.0,36.0,4.0,3.0,15.0
203,163.0,4.0,388.0,150.0,4.0,75.0,138.0,4.0,370.0,37.0,5.0,124.0,12.0,3.0,170.0,6.0,3.0,15.0,4.0,4.0,19.0
204,13.0,3.0,110.0,14.0,3.0,442.0,55.0,4.0,226.0,25.0,3.0,204.0,16.0,5.0,165.0,5.0,4.0,99.0,5.0,4.0,16.0
205,84.0,4.0,181.0,94.0,3.0,721.0,74.0,4.0,406.0,42.0,3.0,172.0,15.0,4.0,151.0,11.0,3.0,40.0,5.0,3.0,24.0
