,type0_str1,type1_str1,type2_str1,type0_str0.3,type1_str0.3,type2_str0.3,type0_str0.1,type1_str0.1,type2_str0.1,type0_str0.03,type1_str0.03,type2_str0.03,type0_str0.01,type1_str0.01,type2_str0.01,type0_str0.003,type1_str0.003,type2_str0.003,type0_str0.001,type1_str0.001,type2_str0.001
129,50.0,,,404.0,,87.0,419.0,,285.0,,,439.0,,,836.0,,,1198.0,,,
130,,,41.0,90.0,,40.0,,,454.0,,,215.0,,,378.0,,,520.0,,,
131,,,523.0,511.0,,77.0,410.0,,260.0,206.0,,610.0,,,457.0,,,875.0,,,
132,,,61.0,284.0,,67.0,,,58.0,,,281.0,,,905.0,,,676.0,,,
133,,,61.0,744.0,,263.0,,,112.0,1198.0,,594.0,,,294.0,,,,,,
134,,,584.0,,,,,,107.0,,,43.0,,,469.0,,,1119.0,,,
135,,,325.0,,,37.0,1160.0,,241.0,,,106.0,,,828.0,,,325.0,,,
136,1005.0,,1018.0,,,228.0,,,301.0,,,64.0,,,709.0,,,486.0,,,
137,,,325.0,,,48.0,149.0,,236.0,,,778.0,,,875.0,,,,,,
138,,,,,,73.0,,,47.0,,,223.0,,,734.0,,,,,,
139,,,,,,137.0,,,129.0,533.0,,209.0,,,274.0,,,,,,
140,,,64.0,,,66.0,,,207.0,878.0,,245.0,,,452.0,,,,,,
141,,,344.0,,,62.0,754.0,,419.0,464.0,,168.0,,,483.0,,,,,,
142,,,166.0,317.0,,222.0,,,46.0,,,254.0,,,681.0,,,,,,
143,643.0,,126.0,,,198.0,770.0,,196.0,,,63.0,,,938.0,,,,,,
144,,,334.0,,,57.0,,,82.0,,,450.0,,,844.0,,,735.0,,,
145,,,38.0,,,264.0,,,32.0,,,476.0,,,138.0,,,632.0,,,
146,,,94.0,,,644.0,,,126.0,,,146.0,,,346.0,,,,,,
147,351.0,,1017.0,,,,,,48.0,,,244.0,,,490.0,,,878.0,,,
148,,,416.0,,,261.0,,,253.0,,,328.0,,,297.0,,,592.0,,,
149,293.0,,117.0,,,106.0,,,273.0,,,513.0,,,954.0,,,880.0,,,
150,,,42.0,795.0,,327.0,445.0,,435.0,,,431.0,,,759.0,,,,,,
151,,,54.0,,,390.0,,,303.0,,,430.0,,,440.0,,,,,,
152,345.0,,886.0,801.0,,688.0,561.0,,35.0,,,251.0,,,57.0,,,1036.0,,,
