,type0,type1,type2,type3
301,110.0,5.0,3.0,168.0
302,51.0,66.0,3.0,58.0
303,6.0,130.0,2.0,1.0
304,4.0,19.0,2.0,151.0
305,17.0,9.0,2.0,192.0
306,4.0,12.0,3.0,428.0
307,3.0,7.0,3.0,172.0
308,4.0,29.0,4.0,739.0
309,107.0,7.0,5.0,606.0
310,3.0,6.0,4.0,362.0
311,40.0,22.0,3.0,6.0
312,3.0,4.0,4.0,568.0
313,8.0,4.0,3.0,3.0
314,45.0,94.0,3.0,281.0
315,29.0,104.0,1.0,234.0
316,4.0,7.0,2.0,142.0
317,146.0,6.0,3.0,900.0
318,5.0,45.0,4.0,401.0
319,1.0,38.0,3.0,36.0
320,9.0,12.0,5.0,469.0
321,105.0,4.0,3.0,913.0
322,20.0,17.0,3.0,375.0
323,90.0,9.0,2.0,209.0
324,20.0,116.0,4.0,254.0
325,6.0,4.0,4.0,42.0
326,239.0,275.0,4.0,8.0
327,20.0,5.0,4.0,3.0
328,5.0,2.0,2.0,37.0
329,53.0,4.0,3.0,131.0
330,4.0,4.0,2.0,13.0
331,3.0,103.0,2.0,26.0
332,40.0,5.0,3.0,401.0
333,4.0,146.0,4.0,2.0
334,33.0,98.0,7.0,505.0
335,260.0,28.0,3.0,732.0
336,3.0,4.0,3.0,182.0
337,57.0,4.0,3.0,376.0
338,3.0,11.0,3.0,701.0
339,62.0,4.0,2.0,1.0
340,5.0,102.0,3.0,258.0
341,140.0,98.0,3.0,282.0
342,87.0,11.0,2.0,3.0
343,3.0,76.0,4.0,482.0
344,5.0,3.0,4.0,401.0
345,1.0,10.0,4.0,40.0
346,2.0,59.0,4.0,17.0
347,39.0,5.0,3.0,1.0
348,19.0,32.0,5.0,598.0
349,19.0,21.0,2.0,4.0
350,4.0,5.0,4.0,476.0
351,28.0,3.0,3.0,592.0
352,36.0,5.0,3.0,158.0
353,258.0,4.0,1.0,30.0
354,49.0,4.0,2.0,29.0
355,4.0,51.0,4.0,340.0
356,61.0,5.0,3.0,614.0
357,39.0,30.0,3.0,233.0
358,7.0,58.0,3.0,815.0
359,86.0,7.0,4.0,316.0
360,2.0,25.0,3.0,192.0
361,24.0,4.0,4.0,13.0
362,5.0,31.0,4.0,236.0
363,5.0,3.0,4.0,3.0
364,102.0,64.0,3.0,358.0
365,46.0,37.0,3.0,621.0
366,4.0,43.0,3.0,47.0
367,4.0,4.0,2.0,101.0
368,35.0,52.0,3.0,4.0
369,4.0,39.0,3.0,981.0
370,5.0,96.0,3.0,275.0
371,76.0,160.0,2.0,110.0
372,4.0,5.0,3.0,2.0
373,27.0,61.0,4.0,588.0
374,3.0,3.0,2.0,233.0
375,3.0,27.0,2.0,90.0
376,60.0,7.0,3.0,923.0
377,19.0,1.0,3.0,59.0
378,29.0,176.0,3.0,811.0
379,5.0,16.0,4.0,162.0
380,6.0,20.0,2.0,573.0
381,3.0,16.0,3.0,69.0
382,14.0,5.0,4.0,237.0
383,5.0,8.0,3.0,352.0
384,2.0,6.0,3.0,395.0
385,26.0,4.0,3.0,158.0
386,71.0,22.0,2.0,132.0
387,4.0,200.0,2.0,31.0
388,44.0,8.0,3.0,247.0
389,15.0,7.0,3.0,25.0
390,8.0,1.0,4.0,220.0
391,130.0,9.0,4.0,354.0
392,69.0,1.0,4.0,26.0
393,2.0,59.0,2.0,994.0
394,5.0,6.0,4.0,168.0
395,146.0,2.0,3.0,106.0
396,51.0,139.0,4.0,902.0
397,22.0,78.0,2.0,62.0
398,41.0,29.0,3.0,101.0
399,119.0,1.0,3.0,3.0
400,146.0,44.0,4.0,321.0
401,44.0,5.0,3.0,617.0
402,25.0,26.0,4.0,86.0
403,5.0,15.0,3.0,140.0
404,106.0,4.0,5.0,7.0
405,37.0,4.0,4.0,170.0
406,7.0,41.0,3.0,439.0
407,6.0,12.0,4.0,318.0
