,type0,type1,type2,type3
242,0.0,0.0,0.0,633.0
243,0.0,0.0,0.0,497.0
244,0.0,0.0,0.0,260.0
245,0.0,0.0,0.0,698.0
246,87.0,0.0,0.0,928.0
247,0.0,0.0,0.0,154.0
248,0.0,0.0,0.0,356.0
249,0.0,0.0,0.0,491.0
250,0.0,0.0,0.0,272.0
251,0.0,0.0,0.0,300.0
252,0.0,0.0,0.0,425.0
253,227.0,130.0,0.0,0.0
254,0.0,0.0,0.0,737.0
255,0.0,381.0,0.0,281.0
256,0.0,0.0,0.0,121.00000000000001
257,0.0,0.0,0.0,791.0
258,0.0,0.0,0.0,0.0
259,0.0,106.0,0.0,0.0
260,0.0,104.0,0.0,549.0
261,0.0,0.0,0.0,301.0
262,0.0,0.0,0.0,127.0
263,129.0,311.0,0.0,0.0
264,0.0,0.0,0.0,108.0
265,0.0,0.0,0.0,181.0
266,0.0,0.0,0.0,145.0
267,200.0,0.0,0.0,0.0
268,0.0,0.0,0.0,152.0
269,0.0,0.0,0.0,0.0
270,0.0,0.0,0.0,0.0
271,240.0,0.0,0.0,251.0
272,0.0,0.0,0.0,0.0
273,0.0,124.0,0.0,0.0
274,0.0,52.0,0.0,0.0
275,0.0,0.0,0.0,209.0
276,0.0,0.0,0.0,620.0
277,0.0,66.0,0.0,392.0
278,0.0,0.0,0.0,0.0
279,0.0,0.0,0.0,359.0
280,0.0,0.0,0.0,0.0
281,90.0,0.0,0.0,226.0
282,0.0,0.0,0.0,0.0
283,0.0,0.0,0.0,277.0
284,0.0,80.0,0.0,323.99999999999994
285,204.0,0.0,0.0,729.0
286,0.0,0.0,0.0,0.0
287,0.0,111.0,0.0,82.0
288,0.0,0.0,0.0,0.0
289,0.0,102.0,0.0,744.0
290,0.0,0.0,0.0,102.0
291,0.0,0.0,0.0,399.0
292,0.0,0.0,0.0,517.0
293,0.0,59.0,0.0,550.0
294,0.0,0.0,0.0,0.0
295,0.0,0.0,0.0,246.0
296,0.0,0.0,0.0,573.0
297,0.0,141.0,0.0,582.0
298,0.0,0.0,0.0,650.0
299,0.0,0.0,0.0,0.0
300,112.99999999999999,0.0,0.0,156.0
301,110.0,0.0,0.0,168.0
302,51.0,66.0,0.0,58.0
303,0.0,130.0,0.0,0.0
304,0.0,0.0,0.0,310.0
305,0.0,0.0,0.0,211.99999999999997
