,type0,type1,type2,type3
928,,53.0,,53.0
929,,631.0,,88.0
930,,,,54.0
931,,,,
932,,,,114.0
933,,,,119.0
934,,,,99.0
935,,375.0,,85.0
936,,,,
937,,,,52.0
938,,32.0,,21.0
939,,,,
940,426.0,,,25.0
941,,,,106.0
942,302.0,,,46.0
943,,,,135.0
944,270.0,,,
945,,,,26.0
946,221.0,,,76.0
947,,,,156.0
948,,,,
949,,371.0,,16.0
950,,569.0,,42.0
951,98.0,,,238.0
952,227.0,322.0,,142.0
953,,505.0,,82.0
954,335.0,329.0,,144.0
955,,,,50.0
956,,,,74.0
957,,,,68.0
958,,,,
959,,,,122.0
960,,282.0,,42.0
961,,264.0,,43.0
962,,,,76.0
963,,,,54.0
964,215.0,,,70.0
965,,,,153.0
966,,169.0,,51.0
967,,,,141.0
968,516.0,,,
969,,,,72.0
970,,,,125.0
971,283.0,,,41.0
972,,,,114.0
973,,1103.0,,117.0
974,,,,106.0
975,97.0,,,25.0
976,,,,
977,,139.0,,163.0
978,94.0,,,30.0
979,,,,146.0
980,,,,99.0
981,391.0,,,77.0
982,,,,
983,,135.0,,88.0
984,,,,103.0
985,,,,43.0
986,599.0,,,31.0
987,,80.0,,266.0
988,195.0,,,28.0
989,,,,104.0
990,305.0,,,
991,63.0,,,
992,,285.0,,56.0
993,,,,61.0
994,,,,
995,,826.0,,67.0
996,32.0,,,67.0
997,,,,75.0
998,,,,
999,271.0,,,
1000,,51.0,,208.0
1001,,,,40.0
1002,,,,225.0
1003,,,,
1004,,83.0,,76.0
1005,,378.0,,73.0
1006,,184.0,,72.0
1007,136.0,,,
1008,,,,21.0
1009,,414.0,,47.0
1010,,,,
1011,124.0,,,82.0
1012,,,,45.0
1013,,,,119.0
1014,,84.0,,66.0
1015,139.0,,,104.0
1016,,193.0,,
1017,,,,
1018,,281.0,,
1019,,,,95.0
1020,,266.0,,
1021,123.0,,,
1022,,,,43.0
1023,699.0,,,75.0
1024,185.0,,,47.0
1025,,,,58.0
1026,,,,197.0
1027,,181.0,,43.0
1028,,,,
1029,,283.0,,
1030,,,,104.0
1031,,,,
1032,532.0,,,234.0
1033,,,,117.0
1034,,,,32.0
1035,,,,
1036,,77.0,,224.0
1037,,,,
1038,,629.0,,36.0
1039,,,,68.0
1040,,422.0,,
1041,,,,69.0
1042,,,,
1043,,,,
1044,,,,49.0
1045,1158.0,,,84.0
1046,,,,
