,d6.67,d8.4,d10.58,d13.33,d16.8,d21.17,d26.67,d33.6,d42.33,d53.33,d67.2,d84.66
224,135.0,178.0,228.0,255.0,307.0,427.0,564.0,706.0,864.0,1097.0,1398.0,1712.0
225,140.0,174.0,210.0,266.0,321.0,427.0,569.0,719.0,863.0,1119.0,1369.0,1702.0
226,148.0,168.0,241.0,303.0,323.0,446.0,539.0,664.0,867.0,1090.0,1384.0,1673.0
227,140.0,206.0,208.0,304.0,344.0,445.0,513.0,671.0,858.0,1083.0,1402.0,1701.0
228,141.0,184.0,214.0,280.0,348.0,418.0,517.0,647.0,830.0,1089.0,1368.0,1790.0
229,145.0,168.0,198.0,277.0,357.0,428.0,545.0,691.0,867.0,1066.0,1310.0,1693.0
230,137.0,154.0,201.0,276.0,330.0,436.0,560.0,647.0,891.0,1084.0,1292.0,1733.0
231,133.0,166.0,218.0,253.0,344.0,449.0,562.0,700.0,898.0,1069.0,1351.0,1719.0
232,134.0,180.0,212.0,255.0,361.0,454.0,537.0,718.0,864.0,1069.0,1359.0,1726.0
233,128.0,184.0,211.0,265.0,377.0,448.0,533.0,685.0,902.0,1074.0,1342.0,1778.0
234,121.0,155.0,194.0,253.0,363.0,403.0,521.0,692.0,862.0,1032.0,1415.0,1737.0
235,139.0,166.0,220.0,322.0,359.0,410.0,585.0,640.0,854.0,1106.0,1360.0,1661.0
236,135.0,173.0,250.0,286.0,337.0,412.0,535.0,716.0,875.0,1136.0,1397.0,1720.0
237,152.0,189.0,221.0,274.0,344.0,460.0,572.0,702.0,841.0,1081.0,1433.0,1780.0
238,142.0,182.0,246.0,275.0,382.0,420.0,540.0,705.0,867.0,1087.0,1438.0,1671.0
239,154.0,145.0,209.0,261.0,330.0,419.0,538.0,685.0,863.0,1093.0,1378.0,1668.0
240,138.0,177.0,224.0,265.0,367.0,409.0,537.0,727.0,889.0,1104.0,1400.0,1732.0
241,122.0,168.0,229.0,251.0,367.0,442.0,582.0,682.0,903.0,1076.0,1375.0,1707.0
242,132.0,167.0,206.0,292.0,344.0,427.0,547.0,678.0,882.0,1104.0,1419.0,1733.0
243,154.0,190.0,216.0,287.0,358.0,419.0,546.0,690.0,862.0,1034.0,1360.0,1744.0
244,142.0,181.0,221.0,297.0,351.0,420.0,581.0,695.0,856.0,1056.0,1354.0,1745.0
245,129.0,174.0,221.0,264.0,369.0,414.0,546.0,693.0,904.0,1068.0,1415.0,1737.0
246,112.0,172.0,233.0,271.0,352.0,422.0,530.0,700.0,853.0,1099.0,1378.0,1677.0
247,143.0,162.0,214.0,277.0,359.0,421.0,523.0,733.0,859.0,1109.0,1440.0,1816.0
248,141.0,170.0,204.0,258.0,328.0,467.0,596.0,728.0,875.0,1181.0,1339.0,1698.0
249,149.0,171.0,226.0,284.0,365.0,418.0,521.0,696.0,855.0,1075.0,1323.0,1727.0
