,width1,width2,width4,width7,width10,width13,width16,width25,width34,width49,width70,width100
148,84.0,9.0,60.0,27.0,14.0,18.0,47.0,16.0,29.0,160.0,195.0,439.0
149,35.0,19.0,364.0,11.0,22.0,32.0,21.0,48.0,36.0,68.0,852.0,965.0
150,19.0,123.0,11.0,8.0,11.0,18.0,28.0,32.0,35.0,1173.0,132.0,226.0
151,21.0,49.0,7.0,30.0,132.0,33.0,31.0,323.0,766.0,178.0,124.0,179.0
152,6.0,24.0,17.0,84.0,9.0,38.0,32.0,502.0,285.0,213.0,384.0,156.0
153,38.0,33.0,185.0,51.0,22.0,36.0,68.0,16.0,25.0,54.0,200.0,218.0
154,9.0,35.0,14.0,19.0,11.0,9.0,31.0,25.0,225.0,163.0,229.0,205.0
155,56.0,52.0,51.0,12.0,41.0,22.0,8.0,215.0,33.0,78.0,780.0,36.0
156,34.0,23.0,16.0,8.0,15.0,22.0,53.0,77.0,56.0,200.0,956.0,470.0
157,8.0,31.0,19.0,28.0,33.0,90.0,20.0,53.0,487.0,75.0,130.0,219.0
158,293.0,12.0,41.0,14.0,11.0,9.0,14.0,237.0,200.0,180.0,,132.0
159,16.0,107.0,33.0,13.0,15.0,13.0,55.0,,33.0,118.0,110.0,
160,232.0,30.0,14.0,15.0,17.0,9.0,30.0,68.0,47.0,598.0,247.0,128.0
161,122.0,56.0,55.0,24.0,46.0,12.0,37.0,204.0,53.0,79.0,392.0,196.0
162,18.0,91.0,65.0,10.0,40.0,54.0,17.0,31.0,38.0,436.0,49.0,211.0
163,178.0,19.0,15.0,39.0,7.0,200.0,48.0,31.0,266.0,259.0,390.0,238.0
164,586.0,157.0,7.0,9.0,14.0,33.0,78.0,64.0,88.0,56.0,196.0,
165,12.0,28.0,193.0,27.0,37.0,397.0,59.0,52.0,30.0,908.0,74.0,178.0
166,27.0,24.0,118.0,11.0,29.0,9.0,18.0,100.0,61.0,113.0,659.0,
167,27.0,132.0,20.0,8.0,9.0,18.0,9.0,25.0,68.0,127.0,807.0,302.0
168,17.0,62.0,20.0,281.0,91.0,13.0,22.0,264.0,19.0,108.0,80.0,80.0
169,14.0,41.0,97.0,21.0,14.0,21.0,11.0,286.0,49.0,257.0,1122.0,103.0
170,25.0,40.0,6.0,17.0,89.0,15.0,23.0,13.0,27.0,,60.0,101.0
171,28.0,35.0,81.0,108.0,10.0,115.0,147.0,385.0,54.0,179.0,94.0,176.0
172,18.0,39.0,101.0,9.0,26.0,11.0,70.0,23.0,41.0,72.0,1114.0,669.0
173,121.0,43.0,41.0,25.0,11.0,38.0,41.0,16.0,120.0,188.0,42.0,745.0
174,60.0,27.0,23.0,40.0,5.0,41.0,17.0,151.0,123.0,111.0,187.0,124.0
175,20.0,17.0,10.0,18.0,22.0,27.0,19.0,46.0,89.0,183.0,240.0,77.0
176,81.0,12.0,11.0,22.0,201.0,11.0,34.0,19.0,131.0,455.0,101.0,69.0
177,24.0,75.0,16.0,11.0,64.0,68.0,91.0,50.0,34.0,81.0,36.0,560.0
178,200.0,21.0,12.0,15.0,8.0,20.0,430.0,15.0,38.0,55.0,,121.0
179,63.0,30.0,29.0,18.0,18.0,37.0,13.0,339.0,137.0,79.0,202.0,72.0
180,76.0,29.0,55.0,476.0,111.0,19.0,11.0,688.0,411.0,117.0,55.0,273.0
181,20.0,30.0,8.0,44.0,8.0,237.0,243.0,10.0,45.0,43.0,69.0,251.0
182,22.0,25.0,12.0,31.0,60.0,55.0,40.0,45.0,53.0,412.0,104.0,
183,15.0,66.0,72.0,10.0,16.0,76.0,134.0,240.0,247.0,45.0,92.0,265.0
184,6.0,29.0,11.0,20.0,78.0,38.0,10.0,203.0,261.0,434.0,339.0,441.0
185,82.0,45.0,16.0,35.0,5.0,39.0,25.0,16.0,632.0,244.0,127.0,126.0
186,8.0,23.0,11.0,7.0,48.0,27.0,17.0,21.0,20.0,124.0,272.0,255.0
187,24.0,17.0,35.0,9.0,13.0,5.0,18.0,28.0,34.0,85.0,48.0,233.0
188,21.0,44.0,95.0,27.0,14.0,344.0,26.0,182.0,57.0,301.0,251.0,139.0
189,24.0,204.0,13.0,19.0,22.0,14.0,61.0,446.0,42.0,12.0,211.0,272.0
190,27.0,16.0,40.0,136.0,91.0,12.0,28.0,694.0,880.0,342.0,106.0,252.0
191,65.0,66.0,41.0,16.0,9.0,167.0,16.0,785.0,62.0,185.0,533.0,33.0
192,5.0,15.0,16.0,13.0,22.0,64.0,21.0,13.0,86.0,716.0,63.0,188.0
193,85.0,21.0,7.0,25.0,190.0,141.0,406.0,24.0,37.0,35.0,38.0,
194,9.0,452.0,41.0,177.0,22.0,41.0,42.0,33.0,46.0,166.0,162.0,67.0
195,45.0,12.0,12.0,10.0,33.0,25.0,15.0,85.0,77.0,102.0,798.0,601.0
196,107.0,13.0,422.0,8.0,14.0,107.0,216.0,22.0,95.0,96.0,69.0,126.0
197,19.0,17.0,27.0,16.0,88.0,10.0,35.0,69.0,42.0,46.0,545.0,552.0
198,13.0,10.0,7.0,8.0,452.0,18.0,66.0,50.0,949.0,120.0,907.0,126.0
199,61.0,20.0,14.0,24.0,9.0,11.0,203.0,16.0,102.0,288.0,72.0,131.0
200,28.0,8.0,33.0,242.0,205.0,29.0,1047.0,22.0,168.0,388.0,600.0,550.0
201,24.0,129.0,392.0,36.0,12.0,8.0,10.0,22.0,17.0,74.0,,405.0
202,102.0,19.0,8.0,126.0,48.0,142.0,166.0,17.0,60.0,45.0,72.0,45.0
203,22.0,14.0,31.0,17.0,,297.0,14.0,9.0,76.0,155.0,707.0,138.0
204,39.0,18.0,40.0,73.0,29.0,26.0,20.0,20.0,36.0,150.0,61.0,253.0
205,53.0,6.0,21.0,44.0,52.0,28.0,11.0,149.0,108.0,248.0,188.0,
206,25.0,505.0,27.0,11.0,21.0,117.0,30.0,47.0,206.0,187.0,,73.0
207,31.0,16.0,84.0,9.0,47.0,182.0,25.0,44.0,85.0,331.0,195.0,783.0
208,26.0,6.0,13.0,33.0,9.0,14.0,78.0,195.0,301.0,48.0,199.0,35.0
209,13.0,42.0,11.0,24.0,7.0,31.0,32.0,26.0,43.0,126.0,54.0,71.0
210,23.0,41.0,25.0,43.0,11.0,159.0,31.0,125.0,172.0,214.0,157.0,282.0
211,22.0,8.0,23.0,153.0,12.0,10.0,10.0,822.0,64.0,232.0,749.0,208.0
212,50.0,25.0,14.0,16.0,271.0,6.0,14.0,160.0,160.0,934.0,339.0,484.0
213,8.0,10.0,7.0,21.0,20.0,34.0,20.0,12.0,75.0,126.0,,133.0
214,37.0,32.0,16.0,7.0,130.0,133.0,110.0,401.0,368.0,339.0,610.0,259.0
215,99.0,63.0,18.0,12.0,19.0,10.0,5.0,80.0,281.0,101.0,,458.0
216,37.0,10.0,19.0,3.0,15.0,25.0,42.0,26.0,89.0,64.0,197.0,537.0
217,365.0,38.0,10.0,14.0,179.0,47.0,69.0,103.0,199.0,163.0,93.0,1024.0
218,34.0,332.0,85.0,320.0,101.0,229.0,36.0,20.0,49.0,265.0,385.0,330.0
219,107.0,38.0,98.0,104.0,181.0,81.0,42.0,20.0,199.0,82.0,343.0,58.0
220,15.0,17.0,31.0,26.0,17.0,22.0,19.0,54.0,44.0,69.0,142.0,471.0
221,44.0,50.0,58.0,20.0,114.0,9.0,48.0,30.0,532.0,270.0,143.0,53.0
222,81.0,15.0,10.0,72.0,480.0,35.0,16.0,22.0,55.0,242.0,84.0,278.0
223,243.0,46.0,12.0,41.0,7.0,30.0,28.0,371.0,60.0,79.0,195.0,175.0
224,214.0,8.0,50.0,50.0,52.0,62.0,7.0,38.0,59.0,554.0,851.0,391.0
225,408.0,28.0,23.0,8.0,11.0,30.0,30.0,34.0,93.0,78.0,175.0,115.0
226,18.0,10.0,29.0,19.0,16.0,12.0,11.0,18.0,22.0,19.0,68.0,
227,12.0,11.0,14.0,18.0,16.0,63.0,59.0,177.0,32.0,83.0,502.0,75.0
228,10.0,32.0,33.0,10.0,18.0,31.0,15.0,35.0,103.0,1187.0,252.0,141.0
229,110.0,13.0,16.0,18.0,14.0,27.0,176.0,46.0,76.0,85.0,64.0,257.0
230,59.0,15.0,9.0,19.0,5.0,15.0,26.0,46.0,50.0,108.0,266.0,304.0
231,22.0,22.0,290.0,12.0,257.0,7.0,25.0,44.0,40.0,65.0,88.0,304.0
232,47.0,61.0,58.0,88.0,16.0,11.0,12.0,254.0,49.0,72.0,129.0,86.0
233,23.0,115.0,87.0,15.0,12.0,11.0,38.0,178.0,57.0,30.0,174.0,160.0
234,77.0,31.0,12.0,79.0,151.0,11.0,20.0,48.0,47.0,29.0,168.0,863.0
235,51.0,7.0,16.0,10.0,18.0,34.0,33.0,10.0,120.0,181.0,185.0,963.0
236,10.0,25.0,591.0,7.0,38.0,14.0,13.0,63.0,172.0,114.0,92.0,211.0
237,52.0,40.0,32.0,10.0,17.0,9.0,40.0,281.0,28.0,102.0,168.0,65.0
238,52.0,59.0,19.0,16.0,43.0,22.0,223.0,437.0,515.0,435.0,212.0,74.0
239,75.0,14.0,20.0,43.0,21.0,56.0,9.0,101.0,116.0,315.0,79.0,127.0
240,60.0,62.0,7.0,28.0,27.0,35.0,12.0,24.0,41.0,72.0,40.0,420.0
241,30.0,21.0,21.0,68.0,7.0,30.0,170.0,13.0,90.0,42.0,67.0,491.0
242,25.0,17.0,54.0,8.0,8.0,82.0,19.0,27.0,107.0,542.0,585.0,126.0
243,11.0,12.0,174.0,31.0,15.0,37.0,272.0,27.0,155.0,170.0,439.0,149.0
244,50.0,148.0,124.0,20.0,36.0,10.0,13.0,230.0,90.0,148.0,809.0,778.0
245,46.0,662.0,195.0,44.0,24.0,11.0,17.0,20.0,93.0,195.0,351.0,83.0
246,52.0,21.0,55.0,16.0,11.0,13.0,16.0,378.0,269.0,85.0,164.0,108.0
247,41.0,358.0,36.0,13.0,15.0,321.0,23.0,189.0,289.0,282.0,294.0,1159.0
248,60.0,14.0,132.0,11.0,116.0,26.0,79.0,48.0,34.0,114.0,435.0,83.0
249,24.0,140.0,494.0,16.0,14.0,20.0,76.0,197.0,116.0,472.0,142.0,247.0
250,60.0,140.0,16.0,12.0,10.0,9.0,16.0,64.0,62.0,67.0,305.0,171.0
251,769.0,35.0,133.0,24.0,9.0,9.0,316.0,49.0,43.0,132.0,66.0,82.0
252,10.0,9.0,193.0,374.0,57.0,51.0,16.0,445.0,79.0,198.0,32.0,413.0
253,27.0,45.0,53.0,26.0,11.0,39.0,283.0,68.0,19.0,185.0,93.0,
254,35.0,26.0,12.0,48.0,16.0,28.0,9.0,1046.0,95.0,67.0,791.0,164.0
255,21.0,198.0,113.0,10.0,7.0,12.0,76.0,100.0,78.0,163.0,342.0,578.0
256,31.0,23.0,13.0,37.0,14.0,6.0,19.0,130.0,118.0,852.0,28.0,74.0
257,30.0,35.0,9.0,78.0,14.0,27.0,24.0,58.0,26.0,43.0,110.0,
258,45.0,46.0,34.0,60.0,23.0,7.0,43.0,455.0,38.0,35.0,211.0,134.0
259,624.0,12.0,74.0,14.0,29.0,21.0,64.0,27.0,83.0,777.0,310.0,145.0
260,55.0,21.0,23.0,25.0,45.0,116.0,75.0,39.0,,379.0,1012.0,87.0
261,14.0,16.0,12.0,29.0,12.0,21.0,29.0,30.0,37.0,50.0,816.0,71.0
262,32.0,29.0,10.0,16.0,66.0,33.0,46.0,67.0,26.0,342.0,76.0,228.0
263,26.0,91.0,48.0,25.0,37.0,22.0,10.0,205.0,170.0,192.0,,109.0
264,12.0,324.0,11.0,62.0,57.0,23.0,36.0,598.0,294.0,100.0,512.0,
265,58.0,8.0,53.0,40.0,61.0,9.0,7.0,67.0,41.0,133.0,78.0,177.0
266,17.0,18.0,51.0,117.0,20.0,58.0,6.0,22.0,51.0,103.0,869.0,393.0
267,23.0,586.0,269.0,11.0,13.0,11.0,23.0,305.0,94.0,96.0,934.0,505.0
268,227.0,31.0,11.0,9.0,301.0,45.0,87.0,38.0,23.0,180.0,421.0,203.0
269,128.0,26.0,9.0,21.0,11.0,202.0,52.0,296.0,594.0,43.0,134.0,85.0
270,479.0,58.0,18.0,9.0,15.0,71.0,10.0,65.0,217.0,33.0,211.0,947.0
271,72.0,727.0,23.0,48.0,12.0,62.0,445.0,17.0,529.0,399.0,522.0,567.0
272,22.0,104.0,30.0,15.0,26.0,10.0,135.0,62.0,1100.0,110.0,398.0,45.0
273,66.0,6.0,447.0,56.0,24.0,40.0,31.0,16.0,670.0,461.0,878.0,90.0
274,143.0,14.0,17.0,14.0,60.0,9.0,19.0,46.0,37.0,40.0,1091.0,139.0
275,25.0,21.0,50.0,59.0,15.0,63.0,21.0,58.0,153.0,32.0,614.0,270.0
276,14.0,20.0,89.0,16.0,20.0,214.0,15.0,371.0,75.0,80.0,198.0,575.0
277,46.0,24.0,97.0,226.0,9.0,24.0,16.0,164.0,51.0,423.0,85.0,246.0
278,21.0,181.0,29.0,24.0,26.0,46.0,18.0,37.0,572.0,587.0,206.0,143.0
