,width1,width2,width4,width7,width10,width13,width16,width25,width34,width49,width70,width100
210,84.0,192.0,57.0,79.0,23.0,344.0,52.0,205.0,283.0,336.0,,952.0
211,87.0,46.0,69.0,195.0,28.0,19.0,27.0,1003.0,201.0,506.0,,419.0
212,262.0,69.0,67.0,72.0,293.0,27.0,32.0,234.0,283.0,1070.0,,
213,61.0,164.0,37.0,59.0,58.0,57.0,308.0,44.0,,789.0,,
214,71.0,77.0,87.0,18.0,227.0,154.0,126.0,667.0,439.0,,,983.0
215,182.0,123.0,119.0,65.0,37.0,106.0,20.0,140.0,,171.0,,
216,145.0,82.0,68.0,11.0,21.0,573.0,,41.0,243.0,160.0,379.0,711.0
217,525.0,85.0,29.0,34.0,501.0,69.0,167.0,,230.0,,,1130.0
218,121.0,613.0,136.0,363.0,132.0,884.0,287.0,47.0,116.0,,1156.0,469.0
219,236.0,85.0,515.0,148.0,1070.0,135.0,277.0,46.0,299.0,120.0,614.0,
220,77.0,108.0,58.0,64.0,28.0,93.0,35.0,250.0,112.0,402.0,,568.0
221,142.0,205.0,141.0,50.0,166.0,20.0,87.0,83.0,754.0,,419.0,638.0
222,139.0,75.0,65.0,902.0,499.0,56.0,113.0,57.0,145.0,397.0,198.0,
223,380.0,123.0,44.0,494.0,23.0,94.0,70.0,622.0,982.0,1128.0,615.0,
224,397.0,63.0,129.0,74.0,77.0,92.0,22.0,51.0,925.0,778.0,998.0,
225,545.0,104.0,69.0,27.0,26.0,68.0,60.0,835.0,,499.0,1020.0,
226,89.0,89.0,67.0,52.0,52.0,34.0,49.0,69.0,75.0,270.0,200.0,
227,65.0,88.0,35.0,50.0,57.0,130.0,913.0,494.0,135.0,,1164.0,303.0
228,77.0,124.0,110.0,39.0,40.0,61.0,40.0,231.0,151.0,,,
229,155.0,91.0,52.0,43.0,37.0,52.0,206.0,102.0,176.0,373.0,363.0,
230,123.0,127.0,78.0,41.0,20.0,26.0,80.0,106.0,239.0,643.0,,972.0
231,75.0,47.0,339.0,31.0,316.0,20.0,50.0,70.0,946.0,,279.0,1022.0
232,107.0,128.0,122.0,146.0,29.0,41.0,29.0,368.0,92.0,113.0,,
233,229.0,178.0,130.0,76.0,29.0,39.0,57.0,310.0,159.0,103.0,570.0,365.0
234,164.0,228.0,44.0,100.0,175.0,19.0,34.0,163.0,60.0,153.0,,
235,96.0,,39.0,43.0,30.0,106.0,81.0,84.0,197.0,,303.0,
236,104.0,89.0,688.0,67.0,56.0,40.0,21.0,166.0,,364.0,182.0,
237,176.0,123.0,109.0,77.0,52.0,21.0,112.0,345.0,49.0,601.0,,
238,807.0,462.0,94.0,68.0,267.0,53.0,253.0,497.0,,,795.0,292.0
239,194.0,83.0,56.0,108.0,41.0,64.0,37.0,160.0,470.0,591.0,293.0,989.0
240,172.0,139.0,92.0,92.0,67.0,67.0,34.0,82.0,986.0,189.0,,774.0
241,896.0,98.0,62.0,108.0,20.0,55.0,303.0,130.0,179.0,182.0,992.0,
242,87.0,97.0,119.0,57.0,29.0,419.0,37.0,54.0,447.0,933.0,,
243,87.0,71.0,205.0,47.0,29.0,57.0,319.0,63.0,808.0,289.0,,
244,699.0,223.0,205.0,65.0,70.0,16.0,86.0,357.0,167.0,346.0,947.0,
245,127.0,817.0,255.0,66.0,58.0,17.0,97.0,48.0,303.0,,1122.0,
246,93.0,69.0,128.0,40.0,38.0,22.0,70.0,523.0,660.0,,846.0,
247,124.0,430.0,77.0,30.0,26.0,633.0,108.0,352.0,425.0,,,
248,101.0,161.0,182.0,42.0,,41.0,201.0,116.0,530.0,,,
249,102.0,240.0,552.0,314.0,28.0,54.0,129.0,223.0,455.0,,389.0,
250,130.0,207.0,69.0,40.0,29.0,102.0,58.0,161.0,136.0,519.0,,392.0
251,967.0,188.0,160.0,55.0,25.0,21.0,425.0,95.0,,304.0,,
252,67.0,85.0,466.0,568.0,74.0,786.0,28.0,853.0,142.0,887.0,539.0,1086.0
253,121.0,68.0,114.0,71.0,35.0,86.0,,136.0,1186.0,,558.0,
254,87.0,81.0,49.0,67.0,28.0,50.0,38.0,1126.0,,135.0,,682.0
255,164.0,267.0,176.0,42.0,28.0,35.0,100.0,932.0,234.0,,,
256,120.0,69.0,54.0,67.0,21.0,18.0,386.0,171.0,528.0,,133.0,
257,95.0,70.0,44.0,681.0,38.0,127.0,44.0,179.0,408.0,,,
258,609.0,101.0,87.0,509.0,122.0,25.0,71.0,573.0,536.0,237.0,,
259,700.0,56.0,141.0,57.0,60.0,44.0,269.0,58.0,302.0,,,
260,125.0,52.0,251.0,47.0,96.0,162.0,145.0,175.0,,498.0,,
261,124.0,52.0,80.0,66.0,51.0,68.0,51.0,63.0,74.0,102.0,849.0,
262,267.0,129.0,33.0,32.0,106.0,51.0,82.0,296.0,436.0,,229.0,
263,130.0,149.0,484.0,64.0,72.0,58.0,41.0,719.0,253.0,,,
264,107.0,775.0,69.0,98.0,74.0,28.0,77.0,1156.0,488.0,,,
265,110.0,51.0,133.0,63.0,103.0,25.0,20.0,807.0,136.0,429.0,482.0,673.0
266,54.0,105.0,69.0,750.0,66.0,203.0,33.0,121.0,103.0,215.0,,1162.0
267,140.0,639.0,319.0,24.0,51.0,24.0,72.0,455.0,312.0,280.0,,784.0
268,536.0,134.0,36.0,33.0,417.0,109.0,179.0,112.0,746.0,382.0,,519.0
269,218.0,82.0,55.0,47.0,24.0,666.0,115.0,486.0,829.0,97.0,429.0,396.0
270,728.0,106.0,80.0,47.0,31.0,186.0,45.0,122.0,488.0,744.0,,
271,286.0,780.0,87.0,90.0,28.0,80.0,552.0,40.0,698.0,,626.0,
272,114.0,370.0,321.0,29.0,53.0,89.0,218.0,88.0,,342.0,890.0,252.0
273,755.0,65.0,839.0,76.0,39.0,177.0,97.0,41.0,839.0,,,
274,1025.0,51.0,51.0,39.0,101.0,26.0,46.0,314.0,272.0,269.0,1172.0,1181.0
275,155.0,155.0,66.0,101.0,32.0,355.0,57.0,328.0,217.0,179.0,,445.0
276,116.0,102.0,142.0,42.0,30.0,780.0,59.0,,,,,
277,107.0,105.0,164.0,,31.0,108.0,80.0,196.0,134.0,573.0,,530.0
278,103.0,272.0,113.0,51.0,52.0,54.0,29.0,187.0,,734.0,,
279,390.0,67.0,312.0,48.0,428.0,45.0,42.0,295.0,106.0,174.0,,
280,407.0,199.0,47.0,40.0,72.0,158.0,51.0,413.0,604.0,,562.0,
281,143.0,357.0,51.0,236.0,93.0,57.0,68.0,88.0,,936.0,,
282,718.0,929.0,141.0,43.0,63.0,29.0,56.0,33.0,227.0,161.0,,1038.0
283,111.0,82.0,98.0,48.0,55.0,117.0,159.0,432.0,90.0,1098.0,691.0,
284,593.0,196.0,171.0,59.0,50.0,1044.0,48.0,,112.0,758.0,439.0,831.0
285,67.0,88.0,168.0,814.0,19.0,50.0,120.0,158.0,68.0,1131.0,931.0,
286,,89.0,72.0,38.0,32.0,56.0,27.0,163.0,443.0,441.0,352.0,
287,160.0,76.0,61.0,18.0,22.0,140.0,191.0,71.0,,329.0,,
288,65.0,81.0,57.0,25.0,121.0,233.0,917.0,,,507.0,822.0,
289,107.0,153.0,78.0,82.0,19.0,63.0,,64.0,584.0,905.0,,
290,348.0,58.0,132.0,46.0,16.0,35.0,202.0,137.0,985.0,236.0,372.0,888.0
291,90.0,67.0,67.0,311.0,63.0,36.0,103.0,129.0,459.0,,,
292,154.0,75.0,107.0,84.0,106.0,917.0,30.0,239.0,429.0,938.0,1124.0,872.0
293,154.0,225.0,43.0,264.0,222.0,117.0,121.0,858.0,115.0,884.0,226.0,
294,132.0,128.0,381.0,54.0,22.0,84.0,125.0,147.0,234.0,921.0,,
295,113.0,100.0,29.0,60.0,902.0,64.0,86.0,145.0,65.0,,365.0,
296,66.0,180.0,217.0,450.0,58.0,39.0,92.0,101.0,158.0,600.0,183.0,
297,664.0,353.0,16.0,28.0,336.0,573.0,49.0,97.0,1064.0,273.0,950.0,632.0
298,110.0,126.0,70.0,18.0,456.0,40.0,73.0,931.0,136.0,457.0,676.0,
299,60.0,80.0,95.0,27.0,19.0,993.0,27.0,366.0,468.0,,,
300,307.0,72.0,296.0,35.0,48.0,49.0,85.0,116.0,55.0,,,
301,149.0,131.0,62.0,40.0,528.0,600.0,43.0,231.0,163.0,,,147.0
302,269.0,221.0,41.0,72.0,40.0,26.0,421.0,145.0,727.0,174.0,,
303,105.0,162.0,37.0,67.0,104.0,167.0,72.0,54.0,1159.0,1048.0,589.0,
304,357.0,63.0,54.0,25.0,31.0,352.0,520.0,183.0,154.0,146.0,206.0,
305,73.0,56.0,,50.0,51.0,59.0,58.0,942.0,358.0,166.0,,586.0
306,194.0,103.0,73.0,17.0,27.0,15.0,20.0,117.0,126.0,1165.0,,
